"","individual","sample","spp","model","mpa","lfm","dw.flam.sample","tti","fh","fd","temp.max","gd","ttfg","gti","pfg","ignition","PC1","start.temp","sample.wt","year.month","site"
"1","2019_December_CEME_1.4.3","1.4.3","CEME","EPI",-0.58,96.18380062,0.293602223104406,69,10,5,343.2,119,13,56,60,1,-2.12333406980316,279.3,0.576,"2019_December","St. Marys"
"2","2019_December_CEME_1.5.3","1.5.3","CEME","EPI",-0.25,120.9012994,0.231777722152691,63,10,5,312.3,171,3,60,104,1,-3.19761091469814,283.6,0.512,"2019_December","St. Marys"
"3","2019_December_CEME_1.8.3","1.8.3","CEME","EPI",-0.317,224.1209333,0.180220600162206,36,10,5,300.7,128,9,27,93,1,-0.153721942187457,265.3,0.584,"2019_December","St. Marys"
"4","2019_December_CEME_1.4.3","1.4.3","CEME","EPI",-2.98,147.9640844,0.225867295385652,55,13,12,273.6,114,23,32,70,1,-0.411250123927006,265.7,0.56,"2019_December","St. Marys"
"5","2019_December_CEME_1.4.3","1.4.3","CEME","EPI",-8.87,77.59403372,0.322645974073398,45,13,10,288.6,150,12,33,107,1,-0.819059087168477,267.4,0.573,"2019_December","St. Marys"
"6","2019_December_CEME_1.6.3","1.6.3","CEME","EPI",-10,28.49525435,0.414032863070539,39,12,5,282.1,142,13,26,111,1,-0.653540144402931,276.9,0.532,"2019_December","St. Marys"
"7","2019_December_CEME_1.8.3","1.8.3","CEME","EPI",-3.19,198.1234307,0.175781560283688,46,9,5,297.2,103,11,35,63,1,-0.30942336857672,258.9,0.524,"2019_December","St. Marys"
"8","2019_December_CEME_1.4.3","1.4.3","CEME","EPI",-8.01,74.32401727,0.306326120959333,57,13,7,276.9,148,16,41,100,1,-1.84843823148623,269.9,0.534,"2019_December","St. Marys"
"9","2019_December_CEME_1.6.3","1.6.3","CEME","EPI",-3.752,118.5678601,0.271793691909188,43,9,8,285.5,145,32,11,126,1,-0.961782225997475,273.8,0.594,"2019_December","St. Marys"
"10","2019_December_CEME_1.7.3","1.7.3","CEME","EPI",-2.85,355.8661033,0.124190761334474,28,11,9,285.1,132,11,17,106,1,0.594135566428936,276.1,0.566,"2019_December","St. Marys"
"11","2019_December_CEME_1.8.3","1.8.3","CEME","EPI",-6.9,122.6254407,0.199026169590643,53,2,1,281,129,7,46,82,1,-2.46354126945174,272.1,0.443,"2019_December","St. Marys"
"12","2019_December_CEME_1.9.3","1.9.3","CEME","EPI",-3.36,123.4106208,0.226488784733847,44,9,10,289.7,149,16,28,111,1,-1.04499037712363,262.3,0.506,"2019_December","St. Marys"
"13","2019_December_CEME_1.4.3","1.4.3","CEME","EPI",-6.33,83.05626182,0.261675925925926,44,12,2,278.5,106,15,29,75,1,-0.259544388053624,275.6,0.479,"2019_December","St. Marys"
"14","2019_December_CEME_1.9.3","1.9.3","CEME","EPI",-4.61,112.8454819,0.251844994617869,41,4,13,284.2,150,15,26,111,1,-1.09439778014231,275.5,0.536,"2019_December","St. Marys"
"15","2019_December_CEME_1.1.3","1.1.3","CEME","EPI",-1.19,101.4208107,0.238307053941909,35,10,14,292.1,106,17,18,74,1,1.13152637471033,269.3,0.48,"2019_December","St. Marys"
"16","2019_December_CEME_1.2.3","1.2.3","CEME","EPI",-0.56,114.5088018,0.211180145598941,50,10,5,267.4,131,26,24,101,1,-1.283537639547,271.8,0.453,"2019_December","St. Marys"
"17","2019_December_CEME_1.4.3","1.4.3","CEME","EPI",-6.98,71.96629977,0.323337547408344,33,11,14,281.7,125,12,21,90,1,0.790329801410463,264.3,0.556,"2019_December","St. Marys"
"18","2019_December_CEME_1.6.3","1.6.3","CEME","EPI",-7.09,79.50880308,0.332596011208175,50,12,4,269.8,139,24,26,109,1,-1.41279018946396,276.2,0.597,"2019_December","St. Marys"
"19","2019_December_CEME_1.7.3","1.7.3","CEME","EPI",-6.2,91.05380452,0.292587735377437,29,7,4,262.8,120,10,19,97,1,0.0571873005617043,252.5,0.559,"2019_December","St. Marys"
"20","2019_December_CEME_1.8.3","1.8.3","CEME","EPI",-8.78,63.36576989,0.345237561317449,26,17,8,303.2,106,11,15,83,1,1.93663451236927,272.2,0.564,"2019_December","St. Marys"
"21","2019_December_CEME_1.2.3","1.2.3","CEME","EPI",-1.52,111.3095238,0.25176338028169,47,10,17,275.7,187,18,29,141,1,-1.71830309078058,278.7,0.532,"2019_December","St. Marys"
"22","2019_December_CEME_1.5.3","1.5.3","CEME","EPI",-3.687,162.4141315,0.211497756170531,44,7,5,270.1,115,15,29,81,1,-0.739805911314202,271,0.555,"2019_December","St. Marys"
"23","2019_December_CEME_1.1.3","1.1.3","CEME","EPI",-3.15,124.5260664,0.238725065963061,55,10.5,5,301.4,119,8,47,67,1,-1.23894321183656,282.3,0.536,"2019_December","St. Marys"
"24","2019_December_CEME_1.2.3","1.2.3","CEME","EPI",-1.91,105.453982,0.264779487179487,60,16.5,3,285.3,188,18,42,143,1,-3.08867530820699,277.6,0.544,"2019_December","St. Marys"
"25","2019_December_CEME_1.3.3","1.3.3","CEME","EPI",-2.98,100.9497626,0.280667164179104,36,12.5,4,272.8,113,9,27,82,1,0.257206467919009,272.6,0.564,"2019_December","St. Marys"
"26","2019_December_CEME_1.5.3","1.5.3","CEME","EPI",-6.59,83.0859028,0.253993762993763,41,11,5,291.1,138,17,24,109,1,-0.724426734205933,268.5,0.465,"2019_December","St. Marys"
"27","2019_December_CEME_1.7.3","1.7.3","CEME","EPI",-8.801,99.42418426,0.258744947064485,40,17,10,263.6,168,17,23,135,1,-0.67452236552161,263.1,0.516,"2019_December","St. Marys"
"28","2019_December_CEME_1.9.3","1.9.3","CEME","EPI",-7.75,86.00600601,0.272589310550368,35,10,19,270.7,95,22,13,63,1,1.74019186738733,268.6,0.507,"2019_December","St. Marys"
"29","2019_December_CEME_1.1.3","1.1.3","CEME","EPI",-3,75.77052182,0.293564583333333,40,10,6,269.6,106,23,17,83,1,0.144127392978163,265.5,0.516,"2019_December","St. Marys"
"30","2019_December_CEME_1.2.3","1.2.3","CEME","EPI",-3.07,94.79733817,0.233062732919255,55,16,4,276.1,93,30,25,64,1,-0.136929951206083,262.1,0.454,"2019_December","St. Marys"
"31","2019_December_CEME_1.4.3","1.4.3","CEME","EPI",-3.98,48.88321634,0.328459111949254,25,13,8,288.1,87,12,13,66,1,2.12648982331445,284.5,0.489,"2019_December","St. Marys"
"32","2019_December_CEME_1.5.3","1.5.3","CEME","EPI",-9.57,75.72192513,0.338603164942179,35,10,3,303.8,110,9,26,81,1,0.226504012662053,276.2,0.595,"2019_December","St. Marys"
"33","2019_December_CEME_1.5.3","1.5.3","CEME","EPI",-9.57,75.72192513,0.338603164942179,32,16,6,279.1,114,12,20,88,1,0.990989356413789,271,0.595,"2019_December","St. Marys"
"34","2019_December_CEME_1.6.3","1.6.3","CEME","EPI",-6.57,116.3649147,0.250526401299756,39,6,11,260.6,118,6,33,74,1,-0.187237646940785,249.4,0.542,"2019_December","St. Marys"
"35","2019_December_CEME_1.9.3","1.9.3","CEME","EPI",-6.26,100.1364038,0.290313662604233,48,3,4,257.4,123,4,44,75,1,-1.74035219283301,252.4,0.581,"2019_December","St. Marys"
"36","2019_December_CEME_1.1.3","1.1.3","CEME","EPI",-5.4,84.29945412,0.319045980253879,44,11,7,291.3,102,18,26,69,1,0.184145544399151,276.1,0.588,"2019_December","St. Marys"
"37","2019_December_CEME_1.2.3","1.2.3","CEME","EPI",-3.42,67.99722319,0.27976652892562,44,10.5,6,302.6,84,21,23,55,1,0.60305894754402,263.3,0.47,"2019_December","St. Marys"
"38","2019_December_CEME_1.3.3","1.3.3","CEME","EPI",-5.42,85.04726439,0.322620278637771,42,7,10,365.1,164,27,15,139,1,-1.17558126749247,268.7,0.597,"2019_December","St. Marys"
"39","2019_December_CEME_1.4.3","1.4.3","CEME","EPI",-6.48,136.6424986,0.195231204336554,49,7,2,253.2,130,13,36,92,1,-1.77865789485729,256.4,0.462,"2019_December","St. Marys"
"40","2019_December_CEME_1.9.3","1.9.3","CEME","EPI",-10.014,62.84858262,0.335280781205774,26,16,13,293.1,137,17,9,115,1,1.37360674556397,272.5,0.546,"2019_December","St. Marys"
"41","2019_December_CEME_1.1.3","1.1.3","CEME","EPI",-3.7,272.0302376,0.12633381712627,43,7,4,293.9,104,20,23,77,1,-0.344961145052733,277,0.47,"2019_December","St. Marys"
"42","2019_December_CEME_1.2.3","1.2.3","CEME","EPI",-6.01,54.09836066,0.377031914893617,37,13,9,279.1,133,27,10,114,1,0.154473614586836,276.2,0.581,"2019_December","St. Marys"
"43","2019_December_CEME_1.3.3","1.3.3","CEME","EPI",-4.1,143.1654676,0.215902366863905,34,11,10,360.9,127,15,19,98,1,0.657986157964493,297.8,0.525,"2019_December","St. Marys"
"44","2019_December_CEME_1.1.3","1.1.3","CEME","EPI",-9,184.5188285,0.149726470588235,45,7,2,273.7,116,18,45,69,1,-1.52855337164337,278.1,0.426,"2019_December","St. Marys"
"45","2019_December_CEME_1.3.3","1.3.3","CEME","EPI",-6.52,133.6798337,0.198134341637011,44,7,5,274.8,137,15,29,103,1,-1.31496065211881,258.7,0.463,"2019_December","St. Marys"
"46","2019_December_CEME_1.1.3","1.1.3","CEME","EPI",-6.95,174.2857143,0.186302083333333,34,17,5,279.1,135,13,21,109,1,0.303373081105902,279,0.511,"2019_December","St. Marys"
"47","2019_December_CEME_1.2.3","1.2.3","CEME","EPI",-8.58,179.969651,0.210379945799458,38,8,13,288.9,179,15,23,143,1,-1.30444680194672,278.3,0.589,"2019_December","St. Marys"
"48","2019_December_CEME_1.3.3","1.3.3","CEME","EPI",-7.21,88.4180791,0.27863568215892,29,10,9,342.7,93,14,15,69,1,1.69638290896418,277,0.525,"2019_December","St. Marys"
"49","2019_December_CEME_1.2.3","1.2.3","CEME","EPI",-9.21,58.51851852,0.369672897196262,50,9,3,266.7,210,20,30,177,1,-3.67870564096214,253.2,0.586,"2019_December","St. Marys"
"50","2019_December_CEME_1.2.3","1.2.3","CEME","EPI",-10,NA,0.286906779661017,28,18,7,282.9,123,7,21,95,1,1.26619442581045,279.3,0.444,"2019_December","St. Marys"
"51","2020_January_CEME_1.1.3","1.1.3","CEME","EPI",-0.52,234.1517857,0.1747708750835,50,10,5,276.9,100,11,39,58,1,-0.517942538148237,268.2,0.584,"2020_January","St. Marys"
"52","2020_January_CEME_1.3.3","1.3.3","CEME","EPI",-0.5,169.1558442,0.20508564535585,42,10,5,336.1,106,23,19,80,1,0.184214668456584,268.8,0.552,"2020_January","St. Marys"
"53","2020_January_CEME_1.1.3","1.1.3","CEME","EPI",-1.72,200.4859611,0.182704043126685,43,5,6,268.1,90,18,25,59,1,-0.0907688146239156,264.1,0.549,"2020_January","St. Marys"
"54","2020_January_CEME_1.2.3","1.2.3","CEME","EPI",-1.19,249.7936726,0.143827304183706,47,8,4,271.1,95,24,23,68,1,-0.358929298175103,267,0.503,"2020_January","St. Marys"
"55","2020_January_CEME_1.3.3","1.3.3","CEME","EPI",-1.49,288.5689098,0.122527525710829,49,8,1,272.1,98,15,34,63,1,-0.832882296725572,280.2,0.476,"2020_January","St. Marys"
"56","2020_January_CEME_1.5.3","1.5.3","CEME","EPI",-1.53,231.4540059,0.176796777081468,59,5,3,260.5,130,20,39,88,1,-2.52323969181544,263,0.586,"2020_January","St. Marys"
"57","2020_January_CEME_1.1.3","1.1.3","CEME","EPI",-2.26,244.9612403,0.142078937084799,47,11.5,4,263.6,74,24,23,47,1,0.480036068575161,264.5,0.49,"2020_January","St. Marys"
"58","2020_January_CEME_1.2.3","1.2.3","CEME","EPI",-2.39,209.0935418,0.164060146149522,41,2,1,263.4,82,20,21,60,1,-0.366594438645894,266.2,0.507,"2020_January","St. Marys"
"59","2020_January_CEME_1.3.3","1.3.3","CEME","EPI",-2.51,185.7897264,0.179502603729212,48,17,4,280.7,124,9,39,81,1,-0.46547489344576,279.6,0.513,"2020_January","St. Marys"
